candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
449,39690.66101697654,39104.90224566992,18.50062353814709,19.2148049086752,52.26284031048806,54.423028929349684,16.885791581365513,18.507038622925137,2,98877.60766666668,100.80885133619273,31,5,3,353.951,98437
450,40015.352417130525,42778.01425891382,33.031911418506674,21.26401803684007,101.86845360710541,65.23108680850993,32.6693595090762,21.010499776093212,2,51455.110330493655,866.7062734634179,36,10,5,326.55800000000744,51014
451,40294.231079253,39832.58327105697,5.472855002513526,7.96919594898326,61.901407403700105,90.66615938010933,5.046228870619052,7.268977818834038,2,77892.5002585603,24.484761771281473,110,8,19,459.575,77452
456,40299.96554564609,40990.78743678427,7.141760407315557,46.11703111480516,72.1207410283043,402.01562983926607,7.524258714450114,52.7734073411741,2,99754.76683038028,1321.5989126522754,117,8,17,655.227,99314
457,40257.74443291137,42135.979821327055,9.272374003509142,11.453912052250368,35.966925420138494,115.69530222098778,7.134034746996511,10.69479207784527,2,83207.9434362012,242.81810630282698,56,6,9,345.8119999999851,82767
458,40459.59349943072,45798.71358201525,32.83246736455963,10.54456394790143,224.82603057003024,84.55574112309357,45.901174529241125,15.970669467731952,2,90144.54858162189,1316.3676839970713,83,10,5,477.099,89704
460,40272.12784051576,39748.69216261375,6.696240657063399,7.722630153506197,84.17496982722248,98.42522246794054,6.4576474997309985,7.268246830376067,2,95867.7648314062,96.2457776904583,82,10,10,357.3290000000149,95427
461,40223.71404543299,42501.47732006557,5.669236667721967,8.985926673785356,63.44462915978964,97.52809613394362,5.344987332198365,8.883646093859435,2,68561.45447826087,127.28069909041632,62,8,9,517.399,68120
462,40309.03586641922,46418.25482483384,8.984094834646326,20.538872476168958,51.584904491321275,119.64458009409131,7.44818176977203,19.942319662759832,2,81253.7012134439,0.10683687726434282,104,7,8,413.39,80813
463,40322.476010265,39900.14339080428,6.578548750541888,10.062565260777028,60.87881849068174,91.58515038621132,7.011677646468874,10.895411024494399,2,64702.56480291568,492439.38897748926,64,5,6,549.998,64262
464,40215.81254363815,41732.62809676785,75.76670393450172,13.848493513009483,41.05461158284469,95.64332562514606,93.36264567865689,15.584597082159979,2,84982.65752258002,1.2227033578768989,35,3,11,373.634,84542
465,40238.31520961891,42286.73429315847,8.502288354855915,17.57398257018056,45.762726770560334,106.55806740929008,5.521757405801358,16.428521857461508,1,60198.76901155953,1352.4955188626743,52,5,12,290.479,59758
466,40228.099099419494,42391.570250090044,6.972451853435244,11.919528023415921,68.74914212045864,126.32882336256677,7.5476693423300825,12.04985489717888,2,60488.728522362,30484115.34756268,82,4,14,334.423,60048
468,41158.921750126145,46621.75672203982,27.12649998796636,14.33725245129557,186.44797914454756,121.1766577800325,27.516417292107494,13.303295687736579,2,82044.79504674075,204.20154231025066,182,18,17,766.018,81604
469,40540.55653272066,45727.45036267972,4.400198943220225,3.7444540027771254,76.22179889246753,64.10417208712425,4.227425457379273,3.5924043474254126,2,50178.39148771318,146.6416156959803,101,10,5,537.696,49737
