candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
27,38259.74965452754,51747.38906439883,11.894088300150017,13.783674937974377,79.33838699662681,95.10292809932642,16.715235473065576,21.49179245321948,1,35922.408839610755,4.0137815756596,34,4,6,150.621,27994
28,34683.13604479418,43878.1187621048,6.040442850575469,6.8578758089935,83.3813411194219,94.6284988299133,5.678482293626162,6.475464357684589,1,36919.124434269615,21.633855059718222,65,10,10,219.109,28991
29,39201.073721332075,47777.39376451237,21.42509724261563,17.955520939715875,109.25826062694446,93.06792560209306,34.49011610050758,28.238065968649188,1,37184.23498590937,75936.79919579386,31,6,5,102.983,29256
30,39087.75935176963,46764.67574137875,10.188579009327814,12.007680481285995,72.49652960877266,86.45012042432093,11.357496324806997,13.750618271832892,1,38734.98829336907,567.2364005056995,31,5,6,92.06400000000001,30807
31,35875.80715619105,45677.77735471601,6.03498568928484,4.7948873098819655,64.82367992902329,50.57765705484037,5.585565443551391,3.5170913921857947,2,39990.54093937581,1428.832497676096,43,5,9,192.427,32063
32,39462.16513858447,52174.86544583007,10.072123135701505,7.568392763404291,88.15741142958784,65.97724351054278,9.65499939557734,7.356150834586309,1,40250.10613625431,896.8104513439698,33,8,7,130.854,32322
33,35659.63891157119,45427.62016923136,15.569150915531987,8.418717219827816,108.94185188537224,59.39535582183736,14.774700243160645,7.743596814505165,1,45154.20249438985,225.52989152848735,44,9,8,140.571,37226
34,41032.48070754876,52842.12292814733,29.167512575701508,13.00941652481329,153.5016701940018,72.52118502502105,34.86956146936725,16.192342746519405,1,45674.28236278302,688.8877310735433,38,7,6,140.196,37746
35,37439.675630972364,51205.681718974025,4.087107548761066,5.530562134362976,35.14963664547945,32.64374831668316,1.8348574136219107,2.4789119227973195,2,47688.79144349723,421.04697116815726,56,11,9,189.651,39761
36,39318.52466975816,47413.228276798116,6.709755898732885,4.303633759903028,80.54273251238632,50.68462194773525,6.252416874283102,4.821391997003554,1,51039.713112730824,523.2283104136798,48,7,8,148.66400000000002,43112
37,36318.89026805004,46221.149348323816,8.435815404076209,11.10171217823092,89.89328817158577,118.35620335499206,8.346996961496394,10.992049935939647,1,51265.4094491871,657.990890621338,59,8,11,166.83700000000002,43337
38,35220.78362038006,44226.89039724713,15.790562719290795,11.216342975582103,188.45295099675104,133.65761853729356,17.774316673757472,12.313663836971742,2,52226.228939550056,1132.3011349698054,134,15,9,256.742,44298
39,40419.50228782631,52479.5488665694,13.07871000116881,20.289817897388463,68.56770280759312,103.96973966892722,12.502851705946313,20.02766817922232,1,53178.15534660347,7.198598422181491,41,9,8,148.455,45250
40,36539.261338488606,45778.66035484484,7.646037530802706,7.254730145963647,84.6409555154011,80.30300730239307,7.245431430258293,6.88262259530238,2,53523.2376872872,283.6154573530442,48,9,9,107.165,45595
43,40741.843323223504,52879.46424515553,23.90879847908209,16.309328106688522,178.08824751358844,122.45239586925591,31.105760603769788,22.28242400285573,1,56393.2407674254,49.163606962079456,66,10,8,163.636,48465
44,36399.610352434596,45945.673072921934,13.138901345495473,16.370747634821434,97.24303482089874,122.53421335581918,14.826691925332856,18.29621534371918,1,57995.07603125,52.80516460151198,57,7,8,191.1,50067
46,39841.513854802244,52139.88024555882,8.715424773196704,6.726085329575709,120.31212402154347,91.2579056608024,8.811562823396914,6.9039232101078385,1,59633.92707480682,47.32717599954141,59,9,8,164.839,51706
48,39289.742411686464,47443.603883231524,7.199888605074907,4.008279822129376,78.89331398179104,49.491946507421545,7.79478423431935,2.9809709535689874,2,65538.11666831122,15.270141425900443,43,6,5,94.81,57610
49,40297.8013349622,42782.78341131806,46.81025135232085,30.273985068202215,244.0003146423835,197.14490276919747,84.8291966209459,69.28977826850813,1,66350.91530706707,329.41839999331665,59,9,11,116.85600000000001,58423
52,37027.74475055743,51009.101950200675,50.950415483460255,18.032303466033326,142.45396668977054,104.17708155042133,50.84139261683668,22.538350207966786,1,67732.0730237682,384.6769271322665,30,6,7,86.092,59804
53,39118.63678968104,47721.56549182918,16.598965627373524,20.08046637817046,103.50957786027917,121.24295961803736,21.30710610341867,23.810066411920182,1,69898.26661279965,63.006184102078706,34,8,6,93.855,61970
55,39090.60443721956,47892.82757198599,7.231905465324623,12.201675813999858,53.96997599747506,91.59310851782303,8.031192300571222,11.602059308042358,1,73414.4406551724,43.91975730593355,52,7,8,155.365,65486
56,38954.24821262718,45979.681777372374,4.944257696786749,6.294622650549131,71.69195423097615,90.95674862015372,4.750280838107054,5.94770848765445,1,78537.47466282864,6578.858629323307,59,9,9,124.10000000000001,70609
57,35012.287830176654,44007.336594214474,35.45032436205989,14.269363073715216,201.99989570673952,84.23169714574536,40.18196700406841,16.609348633418943,1,85256.40152522542,42.82486990922509,48,10,7,119.152,77328
58,40300.30413986867,52772.97039554201,7.756709440072297,7.010433393477321,86.18454386881965,77.88151366477297,7.422748941389617,6.675246133691136,1,95771.73996157594,130.6372101056719,43,8,9,124.239,87844
